obs_val,date
91,01-01-2012
90,02-01-2012
89,03-01-2012
89,04-01-2012
95,05-01-2012
93,06-01-2012
96,07-01-2012
96,08-01-2012
98,09-01-2012
93,10-01-2012
87,11-01-2012
82,12-01-2012
77,13-01-2012
68,14-01-2012
74,15-01-2012
78,16-01-2012
85,17-01-2012
87,18-01-2012
85,19-01-2012
85,20-01-2012
86,21-01-2012
79,22-01-2012
72,23-01-2012
80,24-01-2012
74,25-01-2012
84,26-01-2012
85,27-01-2012
79,28-01-2012
74,29-01-2012
81,30-01-2012
72,31-01-2012
73,01-02-2012
82,02-02-2012
78,03-02-2012
87,04-02-2012
94,05-02-2012
87,06-02-2012
87,07-02-2012
89,08-02-2012
93,09-02-2012
88,10-02-2012
84,11-02-2012
85,12-02-2012
81,13-02-2012
93,14-02-2012
95,15-02-2012
92,16-02-2012
96,17-02-2012
77,18-02-2012
80,19-02-2012
90,20-02-2012
89,21-02-2012
84,22-02-2012
78,23-02-2012
84,24-02-2012
77,25-02-2012
91,26-02-2012
96,27-02-2012
95,28-02-2012
88,29-02-2012
,01-03-2012
,02-03-2012
90,01-03-2012
84,02-03-2012
84,03-03-2012
88,04-03-2012
86,05-03-2012
82,06-03-2012
87,07-03-2012
86,08-03-2012
80,09-03-2012
89,10-03-2012
84,11-03-2012
92,12-03-2012
90,13-03-2012
95,14-03-2012
91,15-03-2012
91,16-03-2012
92,17-03-2012
88,18-03-2012
85,19-03-2012
85,20-03-2012
86,21-03-2012
87,22-03-2012
86,23-03-2012
87,24-03-2012
78,25-03-2012
88,26-03-2012
81,27-03-2012
90,28-03-2012
94,29-03-2012
88,30-03-2012
94,31-03-2012
92,01-04-2012
86,02-04-2012
86,03-04-2012
88,04-04-2012
86,05-04-2012
86,06-04-2012
86,07-04-2012
91,08-04-2012
94,09-04-2012
94,10-04-2012
93,11-04-2012
96,12-04-2012
91,13-04-2012
96,14-04-2012
95,15-04-2012
95,16-04-2012
95,17-04-2012
92,18-04-2012
89,19-04-2012
94,20-04-2012
87,21-04-2012
91,22-04-2012
96,23-04-2012
93,24-04-2012
94,25-04-2012
96,26-04-2012
94,27-04-2012
87,28-04-2012
94,29-04-2012
83,30-04-2012
,01-05-2012
89,01-05-2012
79,02-05-2012
68,03-05-2012
76,04-05-2012
76,05-05-2012
85,06-05-2012
77,07-05-2012
78,08-05-2012
77,09-05-2012
76,10-05-2012
76,11-05-2012
81,12-05-2012
84,13-05-2012
82,14-05-2012
81,15-05-2012
81,16-05-2012
80,17-05-2012
80,18-05-2012
84,19-05-2012
84,20-05-2012
85,21-05-2012
81,22-05-2012
84,23-05-2012
86,24-05-2012
86,25-05-2012
82,26-05-2012
84,27-05-2012
85,28-05-2012
84,29-05-2012
83,30-05-2012
83,31-05-2012
83,01-06-2012
85,02-06-2012
85,03-06-2012
82,04-06-2012
84,05-06-2012
92,06-06-2012
85,07-06-2012
82,08-06-2012
84,09-06-2012
84,10-06-2012
82,11-06-2012
86,12-06-2012
93,13-06-2012
86,14-06-2012
87,15-06-2012
83,16-06-2012
85,17-06-2012
